"medcode"	"term"	"database"
"342457014"	"injects drugs intramuscularly"	"Aurum"
"342465012"	"intravenous drug user"	"Aurum"
"342467016"	"frequency of drug misuse"	"Aurum"
"342485011"	"uses needle exchange scheme"	"Aurum"
"342488013"	"does not use needle and syringe exchange scheme"	"Aurum"
"342489017"	"uses needle and syringe exchange scheme"	"Aurum"
"342490014"	"time since stopped drug misuse"	"Aurum"
"342492018"	"age at starting drug misuse"	"Aurum"
"346941017"	"barbiturate dependence"	"Aurum"
"346942012"	"benzodiazepine dependence"	"Aurum"
"346949015"	"methadone dependence"	"Aurum"
"355550012"	"pregnancy and drug dependence"	"Aurum"
"401793014"	"cannabis type drug dependence"	"Aurum"
"401796018"	"other specified drug dependence"	"Aurum"
"401798017"	"nondependent hallucinogen abuse"	"Aurum"
"401801011"	"non dependent drug abuse"	"Aurum"
"450216018"	"illicit drug use"	"Aurum"
"477158014"	"misuses drugs"	"Aurum"
"477244019"	"cannabis poisoning"	"Aurum"
"494053016"	"misused drugs in past"	"Aurum"
"498672014"	"methadone poisoning"	"Aurum"
"500344018"	"nondependent abuse of drugs"	"Aurum"
"1216143019"	"drug misuse behaviour"	"Aurum"
"1232234014"	"newborn drug withdrawal syndrome"	"Aurum"
"1780455014"	"referral to drug abuse counsellor"	"Aurum"
"2474645012"	"never injecting drug user"	"Aurum"
"2474734017"	"history of drug abuse"	"Aurum"
"2476701016"	"h/o: drug abuse"	"Aurum"
"2533634017"	"substance misuse monitoring"	"Aurum"
"2533642016"	"initial substance misuse assessment"	"Aurum"
"2533651012"	"follow up substance misuse assessment"	"Aurum"
"2533721013"	"drug dependence self detoxification"	"Aurum"
"2533722018"	"drug dependence home detoxification"	"Aurum"
"2533726015"	"substance misuse clinical management plan agreed"	"Aurum"
"2533731018"	"substance misuse decreased"	"Aurum"
"2533732013"	"substance misuse increased"	"Aurum"
"2533733015"	"drug dependence home detoxification contraindicated"	"Aurum"
"2534187010"	"deep vein thrombosis of leg related to intravenous drug use"	"Aurum"
"2535919011"	"intranasal drug user"	"Aurum"
"2535920017"	"intramuscular drug user"	"Aurum"
"2537051014"	"dna - did not attend substance misuse clinic"	"Aurum"
"2548235012"	"current drug user"	"Aurum"
"2548434014"	"persistent substance misuse"	"Aurum"
"2548616017"	"o/e - signs of drug withdrawal"	"Aurum"
"2548750019"	"prolonged high dose use of cannabis"	"Aurum"
"2548756013"	"abstinent from drug misuse in protected environment"	"Aurum"
"2548888013"	"abstinent from drug misuse when receiving blocking therapy"	"Aurum"
"2548950012"	"preoccupied with substance misuse"	"Aurum"
"2548992019"	"previously injecting drug user"	"Aurum"
"2549001012"	"abstinent from drug misuse in normal environment"	"Aurum"
"2549225010"	"abstinent from drug misuse"	"Aurum"
"2549278014"	"reduced drugs misuse"	"Aurum"
"2549886016"	"abstinent from drug misuse on maintenance replacement"	"Aurum"
"2551020015"	"subcutaneous drug user"	"Aurum"
"2670794016"	"drug withdrawal syndrome"	"Aurum"
"3559668010"	"under care of drug misuse service"	"Aurum"
"44291000006113"	"opioid dependence"	"Aurum"
"75271000006112"	"urine cannabinoids screening"	"Aurum"
"189631000000117"	"referral to community drug dependency team"	"Aurum"
"235741000000110"	"drug misuse enhanced services administration"	"Aurum"
"237641000000113"	"drug misuse enhanced service completed"	"Aurum"
"297031000000117"	"occasional drug user"	"Aurum"
"300081000000111"	"substance misuse clinical management plan reviewed"	"Aurum"
"302981000000113"	"drug addiction detoxification therapy - methadone"	"Aurum"
"305121000000119"	"substance misuse management stopped - self withdrawal"	"Aurum"
"305701000000112"	"substance misuse treatment withdrawn"	"Aurum"
"305731000000118"	"substance misuse treatment programme completed"	"Aurum"
"309021000000115"	"on substance misuse programme"	"Aurum"
"309861000000116"	"ecstasy misuse"	"Aurum"
"309921000000119"	"heroin misuse"	"Aurum"
"316931000000112"	"drug addiction detoxification therapy - buprenorphine"	"Aurum"
"379251000006119"	"[x]drug addiction - cannabis"	"Aurum"
"397131000006118"	"[x]mental and behavioural disorders due to use of cannabinoids: withdrawal state with delirium"	"Aurum"
"397141000006111"	"[x]men & beh dis due cocaine: resid & late-onset psychot dis"	"Aurum"
"397151000006113"	"[x]mental and behavioural disorders due to use of hallucinogens: withdrawal state with delirium"	"Aurum"
"397161000006110"	"[x]men & beh dis due opioids: resid & late-onset psychot dis"	"Aurum"
"397191000006119"	"[x]men & beh dis vol solvents: withdrawal state wth delirium"	"Aurum"
"397221000006114"	"[x]men & behav dis due cocaine: withdrawl state wth delirium"	"Aurum"
"397231000006112"	"[x]men & behav dis due opioid: withdrawl state with delirium"	"Aurum"
"397251000006117"	"[x]men & behav dis due to use cocaine: oth men & behav dis"	"Aurum"
"397261000006115"	"[x]men & behav dis due to use opioids: oth men & behav dis"	"Aurum"
"397321000006119"	"[x]men/behav dis due to use cannabinoids: oth men/behav disd"	"Aurum"
"397331000006116"	"[x]men/behav dis due to use hallucinogens: oth men/behav dis"	"Aurum"
"397341000006114"	"[x]men/behav dis due to use seds/hypntcs: oth men/behav disd"	"Aurum"
"397351000006111"	"[x]men/behav dis due to use vol solvents: oth men/behav disd"	"Aurum"
"397441000006118"	"[x]ment & behav dis due use cocaine: unsp ment & behav dis"	"Aurum"
"397451000006116"	"[x]ment & behav dis due use opioids: unsp ment & behav dis"	"Aurum"
"397501000006119"	"[x]ment/behav dis due use cannabinoids: unsp ment/behav disd"	"Aurum"
"397511000006116"	"[x]ment/behav dis due use hallucinogens: unsp ment/behav dis"	"Aurum"
"397521000006112"	"[x]ment/behav dis due use seds/hypntcs: unsp ment/behav disd"	"Aurum"
"397531000006110"	"[x]ment/behav dis due use vol solvents: unsp ment/behav dis"	"Aurum"
"397551000006115"	"cannabis intoxication"	"Aurum"
"397561000006118"	"[x]mental & behav dis due hallucinogens: acute intoxicatn"	"Aurum"
"397571000006113"	"[x]mental & behav dis due seds/hypntcs: acute intoxication"	"Aurum"
"397581000006111"	"cannabis-induced psychosis"	"Aurum"
"397591000006114"	"[x]mental and behavioural disorders due to use of hallucinogens: psychotic disorder"	"Aurum"
"397631000006114"	"[x]mental & behav dis due to use cocaine: acute intoxication"	"Aurum"
"397731000006117"	"[x]mental and behavioural disorders due to use of cannabinoids: withdrawal state"	"Aurum"
"397741000006110"	"[x]mental and behavioural disorders due to use of hallucinogens: withdrawal state"	"Aurum"
"397751000006112"	"[x]mental and behav dis due seds/hypntcs: withdrawal state"	"Aurum"
"397761000006114"	"[x]mental and behav dis due to cannabinoids: dependence synd"	"Aurum"
"397771000006119"	"[x]mental and behav dis due to hallucinogens: dependence syn"	"Aurum"
"397781000006116"	"[x]mental and behav dis due to seds/hypntcs: dependence synd"	"Aurum"
"397821000006110"	"[x]mental and behav dis due to use cannabinoids: amnesic syn"	"Aurum"
"397831000006113"	"cannabis abuse"	"Aurum"
"397841000006115"	"[x]mental and behav dis due to use cocaine: amnesic syndrome"	"Aurum"
"397851000006118"	"[x]mental and behav dis due to use cocaine: dependence syndr"	"Aurum"
"397861000006116"	"[x]mental and behav dis due to use cocaine: withdrawal state"	"Aurum"
"397871000006111"	"[x]mental and behav dis due to use hallucinogens: harmfl use"	"Aurum"
"397891000006112"	"cocaine abuse"	"Aurum"
"397901000006111"	"opioid abuse"	"Aurum"
"397921000006118"	"[x]mental and behav dis due to use opioids: amnesic syndrome"	"Aurum"
"397931000006115"	"[x]mental and behav dis due to use opioids: dependence syndr"	"Aurum"
"397951000006110"	"[x]mental and behav dis due to use seds/hypntcs: amnesic syn"	"Aurum"
"397961000006112"	"[x]mental and behav dis due to use seds/hypntcs: harmful use"	"Aurum"
"398001000006114"	"[x]mental and behav dis due to use vol solvents: amnesic syn"	"Aurum"
"398011000006112"	"[x]mental and behav dis due to vol solvents: dependence synd"	"Aurum"
"398021000006116"	"[x]mental and behav dis due use hallucinogens: amnesic syndr"	"Aurum"
"398031000006118"	"[x]mental and behav dis due vol solvents: withdrawal state"	"Aurum"
"398041000006111"	"[x]mental and behav dis due volatile solvents: harmful use"	"Aurum"
"398051000006113"	"[x]mental and behav dis mlti drg/oth psychoa sbs: harmfl use"	"Aurum"
"398071000006115"	"[x]mental and behav dis mlti/oth psychoa sbs: withdrwl state"	"Aurum"
"398151000006112"	"cannabis-induced organic mental disorder"	"Aurum"
"398271000006114"	"[x]mental/behav dis multi drg use/psychoac subs: acute intox"	"Aurum"
"398721000006119"	"[x]mnt/bh dis mlti drg use/oth psy sbs: wthdr state + dlrium"	"Aurum"
"398751000006111"	"[x]mnt/bh dis vol solvents: resid & late-onset psychotic dis"	"Aurum"
"405581000000116"	"drug abuse monitoring"	"Aurum"
"406071000000119"	"current non recreational drug user"	"Aurum"
"475351000000110"	"previous history of benzodiazepine misuse"	"Aurum"
"475531000000111"	"previous history of heroin misuse"	"Aurum"
"475771000000117"	"h/o infrequent methadone misuse"	"Aurum"
"475831000000113"	"previous history of methadone misuse"	"Aurum"
"476071000000112"	"previous history of ecstasy misuse"	"Aurum"
"476311000000116"	"previous history of amphetamine misuse"	"Aurum"
"476551000000111"	"previous history of major tranquilliser misuse"	"Aurum"
"476791000000114"	"previous history of anti-depressant misuse"	"Aurum"
"477031000000112"	"previous history of opiate misuse"	"Aurum"
"477271000000118"	"previous history of cocaine misuse"	"Aurum"
"477511000000114"	"previous history of crack cocaine misuse"	"Aurum"
"477991000000114"	"previous history of barbiturate misuse"	"Aurum"
"478231000000119"	"previous history of cannabis misuse"	"Aurum"
"478471000000116"	"previous history of solvent misuse"	"Aurum"
"497451000000119"	"history of substance misuse"	"Aurum"
"512101000000118"	"h/o methadone misuse"	"Aurum"
"512111000000116"	"h/o benzodiazepine misuse"	"Aurum"
"512121000000110"	"h/o amphetamine misuse"	"Aurum"
"512131000000112"	"h/o cocaine misuse"	"Aurum"
"512141000000115"	"h/o crack cocaine misuse"	"Aurum"
"512161000000119"	"h/o cannabis misuse"	"Aurum"
"512171000000114"	"h/o solvent misuse"	"Aurum"
"512181000000111"	"h/o barbiturate misuse"	"Aurum"
"512191000000113"	"h/o anti-depressant misuse"	"Aurum"
"512201000000110"	"h/o opiate misuse"	"Aurum"
"512211000000112"	"h/o daily benzodiazepine misuse"	"Aurum"
"512221000000118"	"h/o weekly benzodiazepine misuse"	"Aurum"
"512231000000116"	"h/o infrequent benzodiazepine misuse"	"Aurum"
"512241000000113"	"h/o daily heroin misuse"	"Aurum"
"512251000000111"	"h/o weekly heroin misuse"	"Aurum"
"512261000000114"	"h/o infrequent heroin misuse"	"Aurum"
"512271000000119"	"h/o daily methadone misuse"	"Aurum"
"512281000000117"	"h/o weekly methadone misuse"	"Aurum"
"512301000000116"	"h/o daily ecstasy misuse"	"Aurum"
"512311000000119"	"h/o weekly ecstasy misuse"	"Aurum"
"512321000000113"	"h/o infrequent ecstasy misuse"	"Aurum"
"512331000000110"	"h/o daily amphetamine misuse"	"Aurum"
"512341000000118"	"h/o weekly amphetamine misuse"	"Aurum"
"512351000000115"	"h/o infrequent amphetamine misuse"	"Aurum"
"512361000000117"	"history of daily major tranquilliser misuse"	"Aurum"
"512371000000112"	"history of weekly major tranquilliser misuse"	"Aurum"
"512381000000114"	"history of infrequent major tranquilliser misuse"	"Aurum"
"512391000000111"	"h/o daily anti-depressant misuse"	"Aurum"
"512401000000114"	"h/o weekly anti-depressant misuse"	"Aurum"
"512411000000111"	"h/o infrequent anti-depressant misuse"	"Aurum"
"512421000000117"	"h/o daily opiate misuse"	"Aurum"
"512431000000115"	"h/o weekly opiate misuse"	"Aurum"
"512441000000112"	"h/o infrequent opiate misuse"	"Aurum"
"512451000000110"	"h/o daily cocaine misuse"	"Aurum"
"512461000000113"	"h/o weekly cocaine misuse"	"Aurum"
"512471000000118"	"h/o infrequent cocaine misuse"	"Aurum"
"512481000000116"	"h/o daily crack cocaine misuse"	"Aurum"
"512491000000119"	"h/o weekly crack cocaine misuse"	"Aurum"
"512501000000113"	"h/o infrequent crack cocaine misuse"	"Aurum"
"512541000000111"	"h/o daily barbiturate misuse"	"Aurum"
"512551000000114"	"h/o weekly barbiturate misuse"	"Aurum"
"512561000000112"	"h/o infrequent barbiturate misuse"	"Aurum"
"512571000000117"	"h/o daily cannabis misuse"	"Aurum"
"512581000000115"	"h/o weekly cannabis misuse"	"Aurum"
"512591000000118"	"h/o infrequent cannabis misuse"	"Aurum"
"512601000000112"	"h/o daily solvent misuse"	"Aurum"
"512611000000114"	"h/o weekly solvent misuse"	"Aurum"
"512621000000115"	"h/o infrequent solvent misuse"	"Aurum"
"512631000000118"	"h/o heroin misuse"	"Aurum"
"512641000000110"	"h/o ecstasy misuse"	"Aurum"
"530931000000116"	"substance misuse treatment declined"	"Aurum"
"530991000000115"	"substance misuse treatment not available"	"Aurum"
"531051000000115"	"substance misuse structured counselling"	"Aurum"
"532251000000118"	"abstinent from substance misuse"	"Aurum"
"540591000000111"	"referral to substance misuse service"	"Aurum"
"540681000000110"	"self referral to substance misuse service"	"Aurum"
"541061000000116"	"referral by syringe exchange service"	"Aurum"
"541451000000111"	"opioid agonist substitution therapy"	"Aurum"
"541541000000112"	"opioid antagonist therapy"	"Aurum"
"586671000006114"	"nondependent antidepressant type drug abuse"	"Aurum"
"630281000006113"	"drug dependence - unspec whether during pregnancy/puerperium"	"Aurum"
"630331000006116"	"drug dependence in the puerperium - baby delivered during previous episode of care"	"Aurum"
"630361000006113"	"drug dependence therapy"	"Aurum"
"631001000006115"	"problem drug user"	"Aurum"
"666861000000116"	"maternal drug misuse"	"Aurum"
"666941000000114"	"paternal drug misuse"	"Aurum"
"757341000000110"	"health problem secondary to drug misuse"	"Aurum"
"851461000006115"	"drug misuse behaviour"	"Aurum"
"852201000006114"	"has never misused drugs"	"Aurum"
"852211000006112"	"misused drugs in past"	"Aurum"
"857401000006112"	"referral to community drug dependency team"	"Aurum"
"882501000006119"	"morphine/cocaine dependence"	"Aurum"
"882511000006116"	"glue sniffing"	"Aurum"
"907461000006111"	"[rfc] reason for care : prevention of substance misuse"	"Aurum"
"936031000006115"	"drug abuse prevention education"	"Aurum"
"940671000006112"	"refer to drugs service"	"Aurum"
"961561000006116"	"abuses over-the-counter/illicit drugs"	"Aurum"
"968461000006111"	"referred by syringe exchange"	"Aurum"
"968631000006116"	"substance misuse of amphetamines"	"Aurum"
"968651000006111"	"substance misuse of cannabis"	"Aurum"
"968671000006118"	"currently injecting drugs"	"Aurum"
"968681000006115"	"misuse of cannabis unspecified"	"Aurum"
"968691000006117"	"misuse of cannabis herbal"	"Aurum"
"968711000006119"	"misuse of cannabis resin"	"Aurum"
"968721000006110"	"misuse of cannabis oil"	"Aurum"
"968731000006113"	"misuse of cannabis herbal (skunk)"	"Aurum"
"968741000006115"	"substance misuse of heroin"	"Aurum"
"968751000006118"	"substance misuse of solvents"	"Aurum"
"968761000006116"	"misuse of heroin illicit"	"Aurum"
"968771000006111"	"misuse of diamorphine"	"Aurum"
"968791000006112"	"misuse of diamorphine hydrochl elixir"	"Aurum"
"968811000006111"	"misuse of diamorphine hydrochl amps"	"Aurum"
"968821000006115"	"misuse of diamorphine hydrochl reefers"	"Aurum"
"968841000006110"	"substance misuse of methadone"	"Aurum"
"968871000006119"	"misuse of methadone unspecified"	"Aurum"
"968901000006119"	"misuse of methadone mixture"	"Aurum"
"968931000006110"	"misuse of methadone linctus"	"Aurum"
"968951000006115"	"misuse of methadone tablets"	"Aurum"
"968961000006118"	"misuse of methadone amps"	"Aurum"
"968981000006111"	"misuse of methadone suppositories"	"Aurum"
"969001000006114"	"substance misuse of other opiates"	"Aurum"
"969011000006112"	"misuse of opiates unspecified"	"Aurum"
"969021000006116"	"misuse of morphine sulphate"	"Aurum"
"969041000006111"	"misuse of opium"	"Aurum"
"969091000006119"	"misuse of morphine sulphate amps"	"Aurum"
"969141000006110"	"misuse of oxycodone"	"Aurum"
"969161000006114"	"misuse of fentanyl"	"Aurum"
"969231000006111"	"misuse of codeine tablets"	"Aurum"
"969271000006114"	"misuse of codeine linctus"	"Aurum"
"969311000006114"	"misuse of codeine unspecified"	"Aurum"
"969401000006119"	"substance misuse of benzodiazepines"	"Aurum"
"969411000006116"	"misuse of benzodiazepines unspecified"	"Aurum"
"969421000006112"	"misuse of diazepam"	"Aurum"
"969441000006117"	"misuse of nitrazepam"	"Aurum"
"969501000006118"	"misuse of oxazepam"	"Aurum"
"969521000006111"	"misuse of temazepam"	"Aurum"
"969631000006113"	"misuse of methamphetamine"	"Aurum"
"969641000006115"	"misuse of dexamphetamine (dexadrine)"	"Aurum"
"969651000006118"	"misuse of dexamphetamine linctus/syrup"	"Aurum"
"969681000006114"	"misuse of dexamphetamine reefers"	"Aurum"
"969691000006112"	"misuse of methamphetamine amps"	"Aurum"
"969701000006112"	"substance misuse of ecstasy"	"Aurum"
"969711000006110"	"substance misuse of cocaine"	"Aurum"
"969721000006119"	"misuse of mdma"	"Aurum"
"969741000006114"	"substance misuse of crack"	"Aurum"
"969751000006111"	"misuse of solvents unspecified"	"Aurum"
"969781000006115"	"misuse of cocaine freebase (crack)"	"Aurum"
"969791000006117"	"substance misuse of hallucinogens"	"Aurum"
"969841000006119"	"misuse of psiloybin"	"Aurum"
"969851000006117"	"misuse of amyl nitrate"	"Aurum"
"969911000006113"	"substance misuse of barbiturates"	"Aurum"
"969971000006116"	"misuse of ketamine"	"Aurum"
"969991000006115"	"substance misuse of other drugs"	"Aurum"
"970251000006118"	"substance misuse of major tranquillisers"	"Aurum"
"970281000006114"	"substance misuse of anti-depressants"	"Aurum"
"970391000006118"	"substance misuse of alcohol"	"Aurum"
"970531000006111"	"substance misuse of poly drug"	"Aurum"
"973011000006119"	"** seminars in alcohol & drug misuse"	"Aurum"
"973021000006110"	"** drug misuse & dependance:guidelines on clinical management"	"Aurum"
"980081000006112"	"crack cocaine misuse"	"Aurum"
"980091000006110"	"[x]ment behav dis due use crack cocaine: acute intoxication"	"Aurum"
"980101000006116"	"[x]mental behav disorders due use crack cocaine: harmful use"	"Aurum"
"980111000006118"	"[x]mental behav disorders due use crack cocaine: depend synd"	"Aurum"
"980121000006114"	"[x]mental behav disord due crack cocaine: withdrawal state"	"Aurum"
"980131000006112"	"[x]ment behav dis due crack cocaine: withdraw state delirium"	"Aurum"
"980141000006119"	"[x]mental and behavioural disorders due to use of crack cocaine: psychotic disorder"	"Aurum"
"980161000006115"	"[x]men beh dis due crack cocaine: resid late-onset psych dis"	"Aurum"
"980171000006110"	"[x]ment behav disord due crack cocaine: other ment behav dis"	"Aurum"
"980181000006113"	"[x]ment behav dis due crack cocaine: unsp ment and behav dis"	"Aurum"
"988901000006116"	"morphine/cocaine dependence"	"Aurum"
"994121000006119"	"abscess of antecubital fossa related to intravenous drug use"	"Aurum"
"1012911000006111"	"adverse reaction to drugs used in substance dependence"	"Aurum"
"1013041000006115"	"adverse reaction to amphetamines and cocaine"	"Aurum"
"1063801000000119"	"seen in substance misuse clinic"	"Aurum"
"1122111000000117"	"declined consent for notification of drug misuse"	"Aurum"
"1153411000000119"	"pharmacy attended for drug misuse"	"Aurum"
"1153431000000110"	"drug misuse treatment in primary care"	"Aurum"
"1153451000000115"	"shared care drug misuse treatment"	"Aurum"
"1538881000006119"	"needle exchange"	"Aurum"
"1550291000000111"	"admission to substance misuse detoxification centre"	"Aurum"
"1584851000006110"	"history of major tranquilliser misuse"	"Aurum"
"1627491000006112"	"substance misuse"	"Aurum"
"1700311000006112"	"use of needle and syringe exchange scheme"	"Aurum"
"1704461000006111"	"shared care drug misuse treatment - enhanced services admin"	"Aurum"
"1704471000006116"	"drug misuse treatment primary care - enhanced services admin"	"Aurum"
"1714461000006113"	"pharmacy attended for drug misuse - enhanced services admin"	"Aurum"
"1716731000006118"	"smr25a drug misuse initial assessment form"	"Aurum"
"1716741000006111"	"smr25b drug misuse follow up assessment form"	"Aurum"
"1725171000006117"	"adverse reaction to cannabis extract"	"Aurum"
"1735911000000119"	"substance misuse assessment"	"Aurum"
"1751441000000111"	"declined to give substance misuse history"	"Aurum"
"1777051000006117"	"reason for referral: substance misuse"	"Aurum"
"1778191000006113"	"group session: substance misuse"	"Aurum"
"1809471000006115"	"substance dependence"	"Aurum"
"1823491000006111"	"substance misuse management stopped - patient dropped out/left"	"Aurum"
"1850101000006117"	"knows about needle and syringe exchange scheme"	"Aurum"
"1854731000006115"	"seen in drug misuse clinic"	"Aurum"
"1867021000006117"	"provision of information about needle and syringe exchange scheme"	"Aurum"
"1880411000006116"	"intravenous drug use in the last 12 months"	"Aurum"
"1892131000006117"	"cpu risk factor (parent/carer) - drug abuse"	"Aurum"
"1897741000006112"	"drug misuse - monthly"	"Aurum"
"1897751000006114"	"drug misuse - weekly"	"Aurum"
"1897761000006111"	"drug misuse - daily"	"Aurum"
"1926121000006115"	"referral to mental health services deferred until substance misuse resolved"	"Aurum"
"1948781000006119"	"substance misuse treatment programme commenced"	"Aurum"
"1971421000006118"	"mental and behav dis due to use opioids: withdrawal state, uncomplicated"	"Aurum"
"1971441000006113"	"mental and behav dis due to use opioids: withdrawal state, with convulsions"	"Aurum"
"1971451000006110"	"men & behav dis due opioid: withdrawl state with delirium, without convulsions"	"Aurum"
"1971461000006112"	"men & behav dis due opioid: withdrawl state with delirium, with convulsions"	"Aurum"
"1971471000006117"	"mental & behav dis due to use opioids: psychotic disorder, schizophrenia-like"	"Aurum"
"1971481000006119"	"mental and behav dis due to hallucinogens: dependence syn, currently abstinent"	"Aurum"
